Epoch,L 2 LF,L 5 LF,L 10 LF,L 2 LFLS,L 5 LFLS,L 10 LFLS
1,38.05,40.01,39.91,38.18,41.83,44.65
2,42.36,42.99,44.33,41.51,44.08,45.86
3,44.01,43.73,45.51,42.31,44.35,46.65
4,44.05,44.55,45.93,43.08,44.74,46.59
5,45.07,44.40,46.51,42.93,45.25,46.74
6,44.56,44.81,46.98,42.96,45.85,47.12
7,45.57,45.30,47.09,42.87,46.79,46.79
8,45.19,45.16,47.53,43.24,46.72,47.17
9,45.52,45.45,48.12,43.02,45.97,47.82
10,45.95,45.53,47.38,43.37,46.27,47.75
11,45.80,45.67,48.18,43.50,46.41,47.29
12,45.90,45.44,48.35,42.71,46.53,47.02
13,45.94,45.57,48.46,43.05,46.24,47.51
14,45.46,45.23,48.81,43.12,46.50,47.47
15,46.18,45.49,48.64,43.35,46.01,47.95
16,45.60,45.75,48.80,43.46,46.14,47.68
17,45.74,46.23,48.85,43.26,45.57,47.78
18,46.06,46.04,49.19,44.17,45.75,48.22
19,45.99,45.71,48.79,43.57,45.99,47.50
20,45.92,46.31,49.19,43.34,45.83,48.32
21,46.01,46.42,49.20,43.77,46.23,48.07
22,45.69,46.38,49.00,43.42,45.73,48.54
23,46.19,46.23,48.88,43.68,46.33,47.88
24,45.80,46.68,48.97,43.84,46.59,48.63
25,46.05,47.02,49.48,44.04,47.01,48.49
26,44.98,46.49,49.39,43.32,45.68,48.64
27,46.27,46.97,49.31,43.79,46.69,48.90
28,46.13,47.28,49.50,44.01,47.01,48.70
29,45.94,46.94,49.26,44.02,47.13,48.82
30,45.62,47.18,49.44,44.04,46.65,49.18
